duration_minutes,title_length,description_length,tags_count,has_thumbnail_custom,video_quality,category,language,has_subtitles,channel_subscribers,channel_age_months,previous_videos_count,avg_upload_frequency_days,comments_count,likes_count,shares_count,playlist_adds,promoted,upload_time,upload_day,duration_minutes_log,tags_count_log
40,-1.2800389474353793,-0.3152309466972532,0.0,0,4,Educação,Inglês,Não,900139,79.0,17,13,1662.0,1403,1495.0,72,Não,Noite,Sexta,0.60002866420041,-3.3851302440228026
27,-1.1652276376005908,1.272123044672827,24.0,1,0,Fitness,Inglês,Sim,200053,66.0,457,2,6278.0,7998,3099.0,218,Sim,Manhã,Domingo,0.078955775949361,0.2757841730347833
56,0.1742376438052749,0.8515108119365155,17.0,0,0,Gaming,Inglês,Não,772628,86.0,165,2,4940.0,44283,3972.0,314,Sim,Noite,Sábado,1.0502050780361831,-0.097832375186433
58,0.5952124465328327,1.3086980214325064,22.0,1,0,Fitness,Português,Sim,846911,116.0,127,17,85.0,49766,2937.0,319,Não,Madrugada,Domingo,1.0973244804669642,0.180952017061532
29,-1.701013750162937,-0.8309381190087309,1.0,0,1,Tecnologia,Espanhol,Não,438904,4.0,330,19,6180.0,30893,1403.0,299,Não,Tarde,Seg-Qui,0.1732226169508078,-2.596795233752991
39,-0.7825232714846291,-1.335672798292305,6.0,1,2,Educação,Português,Não,982553,4.0,36,16,2261.0,45506,905.0,475,Não,Noite,Sexta,0.5662904745179133,-1.171994072711515
2,0.7865646295908135,-0.9626080353435764,6.0,1,0,Vlogs,Português,Não,324697,14.0,400,10,2414.0,49092,2052.0,575,Não,Madrugada,Domingo,-2.972862162179201,-1.171994072711515
51,0.6334828831444288,-1.2844678308287538,39.0,0,4,Tecnologia,Português,Não,538391,98.0,85,22,9287.0,47914,1305.0,234,Não,Noite,Domingo,0.9247659208935008,0.8103319953154255
41,1.7433255448807174,-1.068675467946646,41.0,0,0,Tecnologia,Português,Não,805369,76.0,297,1,1076.0,23704,4526.0,880,Sim,Tarde,Sexta,0.6329538058022793,0.865822366841576
24,-0.2467371589222828,-0.626118249154527,47.0,0,1,Fitness,Português,Não,337135,25.0,104,16,7063.0,27856,1380.0,145,Não,Madrugada,Seg-Qui,-0.0758882960321731,1.0176912263397235
19,-0.7825232714846291,1.6927352774091389,39.0,1,4,Culinária,Português,Sim,509497,12.0,426,8,9042.0,18117,4796.0,648,Não,Noite,Sexta,-0.3807754129021105,0.8103319953154255
9,0.0211558973588902,-0.3810659048646759,43.0,1,4,Tecnologia,Inglês,Sim,946684,60.0,277,17,7080.0,10071,980.0,296,Não,Noite,Seg-Qui,-1.3278413003221337,0.9187308371229655
26,0.4038602634748519,0.1017237883630904,24.0,0,0,Gaming,Português,Não,152572,5.0,482,29,797.0,48546,515.0,631,Sim,Madrugada,Domingo,0.0292656723666827,0.2757841730347833
46,1.628514235045929,0.522336021099402,37.0,1,4,Tecnologia,Português,Sim,839624,76.0,1,4,3158.0,36809,4679.0,517,Não,Manhã,Sábado,0.7866355406153093,0.7519947461829736
56,0.0594263339704864,-0.6224607514785591,16.0,0,0,  Gaming,Espanhol,Sim,352501,118.0,428,9,478.0,4339,4597.0,301,Não,Madrugada,Seg-Qui,1.0502050780361831,-0.1628401830882425
38,1.0544576858719863,1.027070700382976,0.0,1,1,Educação,Português,Sim,164600,39.0,447,22,6467.0,7123,81.0,287,Não,Noite,Sábado,0.5316980633263948,-3.3851302440228026
3,0.442130700086448,-1.6173001193418353,22.0,0,0,Educação,Espanhol,Sim,659848,76.0,37,24,8732.0,35765,750.0,881,Não,Manhã,Sexta,-2.579794304612095,0.180952017061532
56,-0.4763597785918598,-0.3664359141608042,28.0,1,4,Culinária,Português,Não,776927,67.0,149,14,5560.0,42285,2647.0,292,Não,Noite,Sábado,1.0502050780361831,0.4445862536616421
