video_id,duration_minutes,title_length,description_length,tags_count,has_thumbnail_custom,video_quality,category,language,has_subtitles,channel_subscribers,channel_age_months,previous_videos_count,avg_upload_frequency_days,comments_count,likes_count,shares_count,playlist_adds,promoted,upload_time,upload_day,total_views,duration_minutes_log,tags_count_log
VID00197,3,-0.055384975864301966,0.19316123026228849,34.0,1,4,Fitness,Português,Não,474,,406,9,2804.0,5269,,624,Não,Tarde,Sexta,2219779,-2.579794304612095,0.6584631358172784
VID00987,60,1.5519733618227367,-0.0043436442399795135,17.0,0,4,Culinária,Português,Não,899904,,25,14,9634.0,9448,1679.0,894,Sim,Tarde,Sexta,719904,1.1428729402019213,-0.09783237518643251
VID01091,47,-0.7442528348730328,-1.3466452913202083,20.0,0,0,Gaming,Espanhol,Não,761732,59.0,59,1,6943.0,34028,542.0,540,Não,Manhã,Seg-Qui,1420456,0.8154013875008944,0.07748735657176468
VID00388,8,-1.6244728769397447,-1.010155505131159,4.0,1,0,Tecnologia,Português,Sim,154261,84.0,93,10,9427.0,42695,3096.0,188,Não,Madrugada,Sábado,329746,-1.4717982449062585,-1.5546730354940093
VID02222,56,1.5137029252111405,0.4089535931443961,48.0,0,4,Vlogs,Espanhol,Não,843352,6.0,205,13,2993.0,40761,311.0,957,Não,Manhã,Domingo,984985,1.0502050780361836,1.0411420985997732
VID00169,16,1.6667846716575252,-1.6173001193418348,1.0,1,4,Educação,Português,Não,212794,97.0,375,8,5108.0,33562,4814.0,821,Não,Manhã,Domingo,266178,-0.6028294564070181,-2.5967952337529905
VID01379,34,1.590243798434333,-0.38838090021661176,26.0,1,1,Vlogs,Português,Sim,542998,56.0,367,12,5518.0,33442,1515.0,960,Não,Madrugada,Sábado,555307,0.3838428928192985,0.36331404382703514
VID02463,38,-0.36154846875707125,0.8734557979923228,12.0,1,0,Tecnologia,Português,Sim,129571,116.0,370,10,7438.0,31157,1599.0,107,Não,Madrugada,Sábado,264052,0.5316980633263949,-0.4679440608192252
VID00706,56,-0.8590641447078213,-0.8455681097126025,3.0,0,0,Fitness,Português,Não,657109,15.0,253,18,3990.0,20654,3612.0,176,Não,Tarde,Seg-Qui,479746,1.0502050780361836,-1.808460223483179
VID02077,14,-0.6677119616498405,-0.38838090021661176,2.0,1,0,Educação,Português,Não,50350,20.0,273,6,9341.0,27868,1417.0,697,Não,Tarde,Seg-Qui,170439,-0.7738432704692157,-2.135648814739523
